Fighter 1,Fighter 2,Winner,Weight Class,Venue,Title Fight,Main Event,F1 Lay Pray,F2 Lay Pray,Winner LP,F1 Failed LP,F2 Failed LP,Decisions,Stinker,F1 Frozen,F2 Frozen,Potential Robbery,Stand Up,F1 Active,F2 Active,Comeback Win,BangFest,F1 Head Hunter,F2 Head Hunter,F1 Leg Kicker,F2 Leg Kicker,Paul Craig,Massacre,F1 Beatdown,F2 Beatdown,Submission,KO
Augusto Sakai,Serghei Spivac,F2,HW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Terrance McKinney,E. Gonzalez,F1,LW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Sam Alvey,M. Oleksiejczuk,F2,MW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Bryan Battle,Takashi Sato,F1,WW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
Brandon Moreno,Kai Kara-France,F1,BW,"Dallas, TX",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Derrick Lewis,Sergei Pavlovich,F2,HW,"Dallas, TX",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
Alexandre Pantoja,Alex Perez,F1,FYW,"Dallas, TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Magomed Ankalaev,Anthony Smith,F1,LHW,"Dallas, TX",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Alex Morono,Matthew Semelsberger,F1,WW,"Dallas, TX",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
Drew Dober,Rafael Alves,F1,LW,"Dallas, TX",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Don'Tale Mayes,H. Abdelwahab,NC,HW,"Dallas, TX",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Drakkar Klose,Rafa Garcia,F1,LW,"Dallas, TX",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Michael Morales,Adam Fuggit,F1,WW,"Dallas, TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Nicolae Negumereanu,Ihor Potieria,F1,LHW,"Dallas, TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Orion Cosce,Blood Diamond,F1,WW,"Dallas, TX",0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Curtis Blaydes,Tom Aspinall,F1,HW,"London, England",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
Jack Hermansson,Chris Curtis,F1,MW,"London, England",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
Paddy Pimblett,Jordan Leavitt,F1,LW,"London, England",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Nikita Krylov,Alexander Gustafsson,F1,LHW,"London, England",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Paul Craig,Volkan Oezdemir,F2,LHW,"London, England",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
M. Jones,Ludovit Klein,F2,LW,"London, England",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Diakiese,D. Hadzovic,F1,LW,"London, England",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Nathaniel Wood,C. Rosa,F1,FW,"London, England",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Makwan Amirkhani,Jonathan Pearce,F2,FW,"London, England",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
Muhammad Mokaev,Charles Johnson,F1,FYW,"London, England",0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Jai Herbert,Kyle Nelson,F1,LW,"London, England",0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
C. Silva,Nicholas Dalby,F2,WW,"London, England",0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Brian Ortega,Yair Rodriguez,F2,FW,"Elmont, New York",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Li Jingliang,Muslim Salikhov,F1,WW,"Elmont, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Matt Schnell,Sumudaerji,F1,FYW,"Elmont, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
Shane Burgos,Charles Jourdain,F1,FW,"Elmont, New York",0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
Punahele Soriano,Dalcha Lungiambula,F1,MW,"Elmont, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Ricky Simon,Jack Shore,F1,BW,"Elmont, New York",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Bill Algeo,Herbert Burns,F1,FW,"Elmont, New York",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Dustin Jacoby,D. Jung,F1,LHW,"Elmont, New York",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Dwight Grant,Dustin Stoltzfus,F2,MW,"Elmont, New York",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
Rafael Dos Anjos,Rafael Fiziev,F2,LW,Apex,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Caio Borralho,Armen Petrosyan,F1,MW,Apex,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
D. Silva de Andrade,Said Nurmagomedov,F2,BW,Apex,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jared Vanderaa,Chase Sherman,F2,HW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1
A. Zahabi,Ricky Turcios,F1,BW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Michael Johnson,Jamie Mullarkey,F2,LW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
Cody Brundage,Tresean Gore,F1,MW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
David Onama,Garret Armfield,F1,FW,Apex,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Kennedy Nzechukwu,Karl Roberson,F1,LHW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
R. Lawrence,S. Kakhramonov,F2,BW,Apex,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Israel Adesanya,Jared Cannonier,F1,MW,"Las Vegas, NV",1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0
Alexander Volkonovski,Max Holloway,F1,FW,"Las Vegas, NV",1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0
Sean Strickland ,Alex Pereira,F2,MW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Robbie Lawler,Bryan Barbarena,F2,WW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1
Pedro Munhoz,Sean O'Malley,NC,BW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Brad Riddell,Jalin Turner,F2,LW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Jim Miller,Donald Cerrone,F1,WW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Ian Garry,Gabe Green,F1,WW,"Las Vegas, NV",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Brad Tavares,Dricus Du Plessis,F2,MW,"Las Vegas, NV",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Uriah Hal,Andre Muniz,F2,MW,"Las Vegas, NV",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
J. Clark,Julija Stoliarenko,F2,BW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
Arman tsarukyan,Mateusz Gamrot,F2,LW,Apex,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0
Neil Magny,Shavkat Rakhmonov,F2,WW,Apex,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Josh Parisian,Alan Baudot,F1,HW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Thiago Moises,C. Giagos,F1,LW,Apex,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Nate Maness,Umar Nurmagomedov,F2,BW,Apex,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
Chris Curtis,R Vieira,F1,MW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Carlos Ulberg,Tafon Nchukwi,F1,LHW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
S. Nuerdanbieke,T. Brown,F1,FW,Apex,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
R. Paiva,Sergey Morozov,F2,BW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
JP Buys,Cody Durden,F2,FYW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
Brian Kelleher,Mario Bautista,F2,BW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
Calvin Kattar,Josh Emmet,F2,FW,"Austin, TX",0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
Tim Means,Kevin Holland,F2,WW,"Austin, TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Joaquin Buckley,Albert Duraev,F1,MW,"Austin, TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Damir Ismagulov,Guram Kutateladze,F1,LW,"Austin, TX",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
J. Marquez,Gregory Rodrigues,F2,MW,"Austin, TX",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Adrian Yanez,Tony Kelley,F1,BW,"Austin, TX",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Court McGee,Jeremiah Wells,F2,WW,"Austin, TX",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
R. Ramos,D. Chavez,F1,FW,"Austin, TX",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Eddie Wineland,Cody Stamann,F2,BW,"Austin, TX",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Phil Hawes,Deron Winn,F1,MW,"Austin, TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Roman Dolidze,Kyle Daukaus,F1,MW,"Austin, TX",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Glover Teixeira,Jiri Prochazka,F2,LHW,Singapore,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0
Andre Fialho,Jake Matthews,F2,WW,Singapore,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Jack Maddalena,Ramazan Emeev,F1,WW,Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
S. Choi,Josh Culibao,F2,FW,Singapore,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Maheshate,Steve Garcia,F1,LW,Singapore,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Brendan Allen,Jacob Malkoun,F1,MW,Singapore,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
K. Kang,Batgeral Danaa,F1,BW,Singapore,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0
Alexander Volkov,Jairzinho Rozenstruik,f1,HW,Apex,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
Dan Ige,Movsar Evloev,F2,FW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Michael Trizano,Lucas Almeida,F2,FW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1
Ode Osbourne,Zarrukh Adashev,F1,FYW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Alonzo Menifield,A. Mozharov,F1,LHW,Apex,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Joe Solecki ,Alex Da Silva,F1,LW,Apex,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Damon Jackson,Dan Argueta,F1,FW,Apex,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Niklas Stolze ,Benoit Saint Denis,F2,LW,Apex,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Johnny Munoz,Tony Gravely,F2,BW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Jeff Molina,Zhalgas Zhumagulov,F1,FYW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
R. Fakhretdinov,A. Michailidis,F1,WW,Apex,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Santiago Ponzinibbio,Michel Pereira,F2,WW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Chidi Njokuani,Dusko Todorovic,F1,MW,Apex,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Eryk Anders,J. Park,F2,MW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
Joseph Holmes,A. Amedovski,F1,MW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
Jailton Almeida,Parker Porter,F1,HW,Apex,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Omar Morales,Uros Medic,F2,LW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Jonathan Martinez,Vince Morales,F1,BW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Chase Hooper,F. Colares,F1,FW,Apex,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Jan Blachowicz ,Aleksandar Rakic,F1,LHW,Apex,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Ryan Spann,Ion Cutelaba,F1,LHW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Davey Grant,Louis Smolka,F1,BW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Frank Camacho,Manuel Torres,F2,LW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Jake Hadley,Allan Nascimento,F2,FYW,Apex,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Michael Johnson,Alan Patrick,F1,LW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Tatsuro Taira,Carlos Candelario,F1,FYW,Apex,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Nick Maximov,Andre Petroski,F2,MW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Charles Oliveira,Justin Gaethje,F1,LW,"Phoenix, AZ",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Michael Chandler,Tony Ferguson,F1,LW,"Phoenix, AZ",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Mauricio Hua,Ovince Saint preux,F2,LHW,"Phoenix, AZ",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Randy Brown,Khaos Williams,F1,WW,"Phoenix, AZ",0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0
Francisco Trinaldo,Danny Roberts,F1,WW,"Phoenix, AZ",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Brandon Royval,Matt Schnell,F1,FYW,"Phoenix, AZ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0
Blagoy Ivanov,Marcos de Lima,F1,HW,"Phoenix, AZ",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Andre Fialho,Cameron VanCamp,F1,WW,"Phoenix, AZ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1
Kleydson Rodrigues,CJ Vegara,F2,FYW,"Phoenix, AZ",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
Journey Newson,Fernie garcia,F1,BW,"Phoenix, AZ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Rob Font,Marlon Vera,F2,BW,Apex,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0
Andre Arlovski,Jake Collier,F1,HW,Apex,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
Andre Fili,Joanderson Brito,F2,FW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Jared Gordon,Grant Dawson,F2,LW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Darren Elkins,Tristan Connelly,F1,FW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Krzysztof Jotko,Gerald Meerschaert,F1,MW,Apex,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Alexander Romanov,Chase Sherman,F1,HW,Apex,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Daniel Lacerda,Francisco Figueiredo,F2,FYW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Gabe Green,Yohann Lainesse,F1,WW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
