Fighter 1,Fighter 2,Winner,Weight Class,Venue,Title Fight,Main Event,F1 Lay Pray,F2 Lay Pray,Winner LP,F1 Failed LP,F2 Failed LP,Decisions,Stinker,F1 Frozen,F2 Frozen,Potential Robbery,Stand Up,F1 Active,F2 Active,Comeback Win,BangFest,F1 Head Hunter,F2 Head Hunter,F1 Leg Kicker,F2 Leg Kicker,Paul Craig,Massacre,F1 Beatdown,F2 Beatdown,Submission,KO
Natan Levy,Mike Breeden,F1,LW,Apex,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Clay Guida,Claudio Puelles,F2,LW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
Lando Vannata,Charles Jourdain,F2,FW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
Jordan Wright ,Marc Barriault,F2,MW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Dwight Grant,Sergey Khandozhko,F2,WW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Tyson Pedro,Ike Villanueva,F1,LHW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Aoriqileng,Cameron Else,F1,BW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Preston Parsons,Evan Elder,F1,WW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Marcin Prachnio,Phillipe Lins,F2,LHW,Apex,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Dean Barry,Mike Jackson,F2,WW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
Vincente Luque,Belal Muhammad,F2,WW,Apex,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
Caio Borralho,Gadzhi Omargadzhiev,F1,MW,Apex,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Miguel Baeza,Andre Fialho,F2,WW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Pat Sabatini,TJ Laramie,F1,FW,Apex,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mounir Lazzez,Ange Loosa,F1,WW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
Devin Clark,William Knight,F1,HW,Apex,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Drakkar Klose,Brandon Jenkins,F1,LW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Rafa Garcia,Jesse Ronson,F1,LW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Chris Barnett,Martin Buday,F2,HW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Jordan Leavitt,Trey Ogden,F1,LW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Alatengheili,Kevin Croom,F1,BW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Alexander Volkanovski,Chan Sung Jung,F1,FW,"Jacksonville, FL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
Aljamain Sterling,Petr Yan,F1,BW,"Jacksonville, FL",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Giblert Burns,Khamzat Chimaev,F2,WW,"Jacksonville, FL",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Vinc Pichel,Mark Madsen,F2,LW,"Jacksonville, FL",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Ian Garry,Darian Weeks,F1,WW,"Jacksonville, FL",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Anthony Hernandez,Josh Fremd,F1,MW,"Jacksonville, FL",0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mickey Gall,Mike Malott,F2,WW,"Jacksonville, FL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Aleksein Oleinik,Jared Vanderaa,F1,HW,"Jacksonville, FL",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
Julio Arce,Daniel Santos,F1,BW,"Jacksonville, FL",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Curtis Blaydes,Chris Daukaus,F1,HW,"Columbus, OH",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Matt Brown,Bryan Barbarena,F2,WW,"Columbus, OH",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
Askar Askarov,Kai Kara-France,F2,FYW,"Columbus, OH",0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Neil Magny,Max Griffin ,F1,WW,"Columbus, OH",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
Marc Diakiese,Viacheslav Borshchev,F1,LW,"Columbus, OH",0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chris Gutierrez,Batgerel Danaa,F1,BW,"Columbus, OH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Aliaskhab Khizriev,Denis Tiuliulin,F1,MW,"Columbus, OH",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Matheus Nicolau,David Dvorak,F1,FYW,"Columbus, OH",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Luis Saldana,Bruno Souza,F1,FW,"Columbus, OH",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Alexander Volkov,Tom Aspinall,F2,HW,"London, England",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Arnold Allen,Dan Hooker,F1,FW,"London, England",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Paddy Pimblett,Kazula Vargas,F1,LW,"London, England",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
Gunnar Nelson,Takashi Sato,F1,WW,"London, England",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jai Herbert,Ilia Topuria,F2,FW,"London, England",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Mike Grundy,Makwan Amirkhani,F2,FW,"London, England",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
Shamil Abdurakhimov,Sergei Pavlovich,F2,HW,"London, England",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Nikita Krylov,Paul Craig,F2,LHW,"London, England",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
Jack Shore,Timur Valiev,F1,BW,"London, England",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
Muhammad Mokaev,Cody Durden,F1,FYW,"London, England",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Thiago Santos,Magomed Ankalaev,F2,LHW,Apex,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Marlon Moraes,Song Yadong ,F2,BW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Sodiq Yusuff,Alex Caceres,F1,FW,Apex,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Khalil Rountree,Karl Roberson,F1,LHW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Drew Dober,Terrance McKinney,F1,LW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Alex Pereira,Bruno Silva,F1,MW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Matthew Semelsberger,AJ Fletcher,F1,WW,Apex,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Trevin Jones,Javid Basharat,F2,BW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Damon Jackson,Kamuela Kirk,F1,FW,Apex,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Dalcha Lungiambula,Cody Brundage,F2,MW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
Kris Moutinho,Guido Cannetti,F2,BW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
Tafon Nchukwi,Azamat Murzakanov,F2,LHW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
Colby Covington,Jorge Masvidal,F1,WW,"Las Vegas, NV",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Rafael Dos Anjos,Renato Moicano,F1,LW,"Las Vegas, NV",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
Edson Barboza,Bryce Mitchell,F2,FW,"Las Vegas, NV",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kevin Holland,Alex Oliveira,F1,WW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Serghei Spivac,Greg Hardy,F1,HW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Jalin Turner,Jamie Mullarkey,F1,LW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Nicolae Negumereanu,Kennedy Nzechukwu,F1,LHW,"Las Vegas, NV",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
Brian Kelleher,Umar Nurmagomedov,F1,FW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
Tim Elliot,Tagir Ulanbekov,F1,FYW,"Las Vegas, NV",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
Devonte Smith,Ludovit Klein,F2,LW,"Las Vegas, NV",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dustin Jacoby,Michel Oleksiejczuk,F1,LHW,"Las Vegas, NV",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Islam Makhachev,Bobby Green,F1,LW,Apex,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Misha Cirkunov,Wellington Turman,F2,MW,Apex,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
Arman tsarukyan,Joel Alvarez,F1,LW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Armen Petrosyan,Gregory Rodrigues,F1,MW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Rong Zhu,Ignacio Bahamondes,F2,LW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
Terrance McKinney,Fares Ziam,F1,LW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Alejandro Perez,Jonathan Martinez,F2,FW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0
Ramiz Brahimaj,Michael Gillmore,F1,WW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
Victor Altamirano,Carlos Hernandez,F2,FYW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Johnny Walker,Jamahal Hill,F2,LHW,Apex,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Kyle Daukus,Jamie Pickett,F1,MW,Apex,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Parker Porter,Alan Baudot,F1,HW,Apex,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Jim Miller,Nikolas Motta,F1,LW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Joaquin Buckley,Abdul Razak Alhassan,F1,MW,Apex,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Garbiel Benitez,David Onama,F2,FW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Chas Skelly,Mark Striegl,F1,FW,Apex,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Jonathan Pearce,Christian Rodriguez,F1,FW,Apex,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Mario Bautista,Jay Perrin,F1,BW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Israel Adesanya,Robert Whittaker,F1,MW,"Houston, TX",1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Derrick Lewis,Tai Tuivasa,F2,HW,"Houston, TX",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Jared Cannonier,Derek Brunson,F1,MW,"Houston, TX",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Alexander Hernandez,Renato Moicano,F1,LW,"Houston, TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Bobby Green,Nasrat Haqparast,F1,LW,"Houston, TX",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0
Andre Arlovski,Jared Vanderaa,F1,HW,"Houston, TX",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
Kyler Phillips,Marcelo Rojo,F1,BW,"Houston, TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
Carlos Ulberg,Fabio Cherant,F1,LHW,"Houston, TX",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Mana Martinez,Ronnie Lawrence,F2,BW,"Houston, TX",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
AJ Dobson,Jacob Malkoun,F2,MW,"Houston, TX",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
Dougle Silva de Andrade,Sergey Morozov,F1,BW,"Houston, TX",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
Jeremiah Wells,Blood Diamond,F1,WW,"Houston, TX",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
William Knight,Max Grishin,F2,HW,"Houston, TX",0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
Jack Hermansson,Sean Strickland,F2,MW,Apex,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
Punahele Soriano,Nick Maximov,F2,MW,Apex,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Shavkat Rakhmonov,Carlston Harris,F1,WW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Sam Alvey,Brendan Allen,F2,LHW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Tresean Gore,Bryan Battle,F2,MW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
Julian Erosa,Steven Peterson,F1,FW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0
Miles Johns,John Castaneda,f2,BW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Hakeem Dawodu,Michae Trizano,F1,FW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
Chidi Njokuani,Marc Barriault,F1,MW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Jailton Almeida,Danilo Marques,F1,LHW,Apex,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Jason Witt,Phil Rowe,F2,WW,Apex,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Malcom Gordon,Denys Bondar,F1,FYW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
Francis Ngannou,Ciryl Gane,F1,HW,"Anaheim, CA",1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Brandon Moreno,Deiveson Figueiredo,F2,FYW,"Anaheim, CA",1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0
Michel Pereira,Andre Fialho,F1,WW,"Anaheim, CA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Cody Stamann,Said Nurmagomedov,F2,BW,"Anaheim, CA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Michael Morales,Trevin Giles,F1,WW,"Anaheim, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Raoni Barcelos,Victor Henry,F2,BW,"Anaheim, CA",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0
Jack Maddalena,Pete Rodriguez,F1,WW,"Anaheim, CA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Tony Gravely,Saimon Oliveira,F1,BW,"Anaheim, CA",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Matt Frevola,Genaro Valdez,F1,LW,"Anaheim, CA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Calvin Kattar,Giga Chikadze,F1,FW,Apex,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Jake Collier,Chase Sherman,F1,HW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Brandon Royval,Rogerio Bontorin,F1,FYW,Apex,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dakota Bush,Viacheslav Borshchev,F2,LW,Apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Bill Algeo,Joanderson Brito,F1,FW,Apex,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jamie Pickett,Joseph Holmes,F1,MW,Apex,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Court McGee,Ramiz Brahimaj,F1,WW,Apex,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Brian Kelleher,Kevin Croom,F1,FW,Apex,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
TJ Brown,Charles Rosa,F1,LW,Apex,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
